SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,7428 Rentz Ct,Jacksonville,FL,32211,240000,4,2.0,Arlingwood,1456,,1959,22,165,,Active,,,https://www.redfin.com/FL/Jacksonville/7428-Rentz-Ct-32211/home/58743056,NEFLMLS,1160686,N,Y,30.3495226,-81.5727744
MLS Listing,,Single Family Residential,1964 New Berlin Rd,Jacksonville,FL,32218,265000,3,2.0,Broward Grant,1247,,1958,37,213,,Active,,,https://www.redfin.com/FL/Jacksonville/1964-New-Berlin-Rd-32218/home/108821918,NEFLMLS,1160625,N,Y,30.4669644,-81.5997591
MLS Listing,,Single Family Residential,1602 East 11th St,Jacksonville,FL,32206,163000,3,2.0,East Springfield,1084,,1954,27,150,,Active,,,https://www.redfin.com/FL/Jacksonville/1602-E-11th-St-32206/home/108836508,NEFLMLS,1160580,N,Y,30.3495603,-81.6337972
MLS Listing,,Single Family Residential,1571 7th St West,Jacksonville,FL,32209,135000,3,2.5,Trout River,2022,,1924,28,67,,Active,,,https://www.redfin.com/FL/Jacksonville/1571-7th-St-W-32209/home/72733797,NEFLMLS,1160435,N,Y,30.3457871,-81.6816001
MLS Listing,,Single Family Residential,5859 Josephine Mosley Rd,Jacksonville,FL,32234,305000,3,2.0,Maxville,1421,,1960,12,215,,Active,,,https://www.redfin.com/FL/Jacksonville/5859-Josephine-Mosley-Rd-32234/home/72719143,NEFLMLS,1160119,N,Y,30.1054729,-81.9838842
MLS Listing,,Single Family Residential,4518 Royal Ave,Jacksonville,FL,32205,349900,3,2.0,Murray Hill Heights,1355,,1942,36,258,,Active,,,https://www.redfin.com/FL/Jacksonville/4518-Royal-Ave-32205/home/62417450,NEFLMLS,1160112,N,Y,30.3149892,-81.7228649
MLS Listing,,Single Family Residential,11672 Sands Ave,Jacksonville,FL,32246,290000,3,2.0,Beachwood Village,1204,,1961,14,241,,Active,,,https://www.redfin.com/FL/Jacksonville/11672-Sands-Ave-32246/home/62436628,NEFLMLS,1160097,N,Y,30.2909747,-81.5173183
MLS Listing,,Single Family Residential,6976 Jack Horner Ln,Jacksonville,FL,32210,236000,3,2.0,Cedar Hills Estates,1095,,1961,41,216,,Active,,,https://www.redfin.com/FL/Jacksonville/6976-Jack-Horner-Ln-32210/home/108784815,NEFLMLS,1160055,N,Y,30.2761184,-81.7612055
MLS Listing,,Single Family Residential,7387 North High Bluff Rd,Jacksonville,FL,32244,309900,3,2.0,Overland Park,1614,,2003,41,192,20,Active,,,https://www.redfin.com/FL/Jacksonville/7387-High-Bluff-Rd-N-32244/home/58751955,NEFLMLS,1159924,N,Y,30.2192989,-81.7679568
MLS Listing,,Single Family Residential,2424 Spirea St,Jacksonville,FL,32209,160000,4,2.0,Magnolia Gardens,1931,,1956,30,83,,Active,,,https://www.redfin.com/FL/Jacksonville/2424-Spirea-St-32209/home/72828280,NEFLMLS,1159831,N,Y,30.380304,-81.7021262
MLS Listing,,Single Family Residential,1219 St Clair St,Jacksonville,FL,32254,160000,3,2.0,Caldwell Terrace,1070,,1947,44,150,,Active,,,https://www.redfin.com/FL/Jacksonville/1219-St-Clair-St-32254/home/106125233,NEFLMLS,1159363,N,Y,30.3414972,-81.7157567
MLS Listing,,Single Family Residential,145 Janelle Ln,Jacksonville,FL,32211,349000,3,2.0,Riverwood Park,1708,,1949,44,204,,Active,,,https://www.redfin.com/FL/Jacksonville/145-Janelle-Ln-32211/home/58732173,NEFLMLS,1159329,N,Y,30.3211856,-81.6069533
MLS Listing,,Single Family Residential,270 Turtle Dove Dr,Orange Park,FL,32073,336000,3,2.0,Olde Sutton Oaks,1431,,1999,45,235,13,Active,,,https://www.redfin.com/FL/Orange-Park/270-Turtle-Dove-Dr-32073/home/108731057,NEFLMLS,1159269,N,Y,30.1874919,-81.7861994
MLS Listing,,Single Family Residential,5715 Wiltshire St,Jacksonville,FL,32211,348800,6,4.0,Jacquelines,2683,,1953,45,130,,Active,,,https://www.redfin.com/FL/Jacksonville/5715-Wiltshire-St-32211/home/62428998,NEFLMLS,1159249,N,Y,30.3388182,-81.6009153
MLS Listing,,Single Family Residential,3686 Smithfield St,Jacksonville,FL,32217,300000,3,2.0,Bowden Park,1488,,1962,39,202,,Active,,,https://www.redfin.com/FL/Jacksonville/3686-Smithfield-St-32217/home/108863422,NEFLMLS,1158982,N,Y,30.258346,-81.6224101
MLS Listing,,Single Family Residential,5072 French St,Jacksonville,FL,32205,298000,3,2.0,Roosevelt Gardens,1434,,1949,48,208,,Active,,,https://www.redfin.com/FL/Jacksonville/5072-French-St-32205/home/72736142,NEFLMLS,1158951,N,Y,30.310579,-81.7330397
MLS Listing,,Single Family Residential,6348 Gilchrist Rd,Jacksonville,FL,32219,189900,4,2.0,Carter Donation,1216,,1959,49,156,,Active,,,https://www.redfin.com/FL/Jacksonville/6348-Gilchrist-Rd-32219/home/58713850,NEFLMLS,1158814,N,Y,30.403597,-81.7465129
MLS Listing,,Single Family Residential,1845 Daytona Ln North,Jacksonville,FL,32218,325000,3,2.0,Biscayne Estates Eas,1728,,1993,37,188,14,Active,,,https://www.redfin.com/FL/Jacksonville/1845-Daytona-Ln-N-32218/home/72730342,NEFLMLS,1158663,N,Y,30.4422141,-81.6741947
MLS Listing,,Single Family Residential,1717 Mc Quade St,Jacksonville,FL,32209,129900,5,2.0,Springfield,1820,,1950,47,71,,Active,,,https://www.redfin.com/FL/Jacksonville/1717-Mc-Quade-St-32209/home/108835716,NEFLMLS,1158507,N,Y,30.3391248,-81.6874132
MLS Listing,,Single Family Residential,1811 Bartram Cir East,Jacksonville,FL,32207,331000,3,2.0,Arlington River Hill,1738,,1947,51,190,,Active,,,https://www.redfin.com/FL/Jacksonville/1811-Bartram-Cir-E-32207/home/62456463,NEFLMLS,1158377,N,Y,30.3107576,-81.6005728
MLS Listing,,Single Family Residential,8168 Oregon St,Jacksonville,FL,32220,349000,4,2.5,Marietta,2677,,1973,47,130,,Active,,,https://www.redfin.com/FL/Jacksonville/8168-Oregon-St-32220/home/108898214,NEFLMLS,1156858,N,Y,30.3280581,-81.7856654
MLS Listing,,Single Family Residential,2320 Edgewood Ave West,Jacksonville,FL,32209,260000,3,2.0,Kinnons Cottage Grove,1379,,1953,56,189,,Active,,,https://www.redfin.com/FL/Jacksonville/2320-Edgewood-Ave-W-32209/home/58714202,NEFLMLS,1157719,N,Y,30.3785449,-81.6997741
MLS Listing,,Single Family Residential,1672 Jenkins Rd,Jacksonville,FL,32208,213000,4,2.0,Rowe Park,1515,,1973,56,141,,Active,,,https://www.redfin.com/FL/Jacksonville/1672-Jenkins-Rd-32208/home/108850555,NEFLMLS,1157695,N,Y,30.3853759,-81.6827934
MLS Listing,,Single Family Residential,3233 Harbison St,Jacksonville,FL,32218,325000,2,2.0,Garden City,1539,,1968,57,211,,Active,,,https://www.redfin.com/FL/Jacksonville/3233-Harbison-St-32218/home/178545042,NEFLMLS,1157498,N,Y,30.4454985,-81.7025539
MLS Listing,,Single Family Residential,12220 Bayonne St,Jacksonville,FL,32224,220000,3,2.0,Sans Pareil,1008,,1986,42,218,,Active,,,https://www.redfin.com/FL/Jacksonville/12220-Bayonne-St-32224/home/62404447,NEFLMLS,1157415,N,Y,30.2805014,-81.4958792
MLS Listing,,Single Family Residential,1607 Logan St,Jacksonville,FL,32209,215000,4,2.0,Smiths Allotment,1232,,1909,52,175,,Active,,,https://www.redfin.com/FL/Jacksonville/1607-Logan-St-32209/home/72739474,NEFLMLS,1157410,N,Y,30.3370562,-81.6828946
MLS Listing,,Single Family Residential,2101 Prospect St East,Jacksonville,FL,32254,180000,3,2.0,Allandale,1272,,1950,57,142,,Active,,,https://www.redfin.com/FL/Jacksonville/2101-Prospect-St-E-32254/home/62439599,NEFLMLS,1157268,N,Y,30.349383,-81.7200431
